# math: t:sin(t):cos(t):t**2
# x	y1	y2	y3
-10.0	0.54402111088937	-0.839071529076452	100.0
-9.8	0.366479129251928	-0.930426272104753	96.04
-9.6	0.17432678122298	-0.984687855794127	92.16
-9.4	-0.0247754254533578	-0.999693042035206	88.36
-9.2	-0.222889914100248	-0.974843621404164	84.64
-9.0	-0.412118485241757	-0.911130261884677	81.0
-8.8	-0.584917192891762	-0.811093014061656	77.44
-8.6	-0.734397097874113	-0.678720047320012	73.96
-8.4	-0.85459890808828	-0.519288654116686	70.56
-8.2	-0.940730556679773	-0.339154860983835	67.24
-8.0	-0.989358246623382	-0.145500033808614	64.0
-7.8	-0.998543345374605	0.0539554205626498	60.84
-7.6	-0.967919672031486	0.251259842582256	57.76
-7.4	-0.898708095811627	0.43854732757439	54.76
-7.2	-0.793667863849153	0.608351314532255	51.84
-7.0	-0.656986598718789	0.753902254343305	49.0
-6.8	-0.494113351138608	0.869397490349825	46.24
-6.6	-0.311541363513378	0.95023259195853	43.56
-6.4	-0.116549204850494	0.993184918758193	40.96
-6.2	0.0830894028174964	0.996542097023217	38.44
-6.0	0.279415498198926	0.960170286650366	36.0
-5.8	0.464602179413757	0.885519516941319	33.64
-5.6	0.631266637872322	0.77556587851025	31.36
-5.4	0.772764487555988	0.634692875942634	29.16
-5.2	0.883454655720153	0.468516671300377	27.04
-5.0	0.958924274663138	0.283662185463226	25.0
-4.8	0.996164608835841	0.0874989834394464	23.04
-4.6	0.993691003633464	-0.112152526935055	21.16
-4.4	0.951602073889516	-0.30733286997842	19.36
-4.2	0.871575772413588	-0.490260821340699	17.64
-4.0	0.756802495307928	-0.653643620863612	16.0
-3.8	0.611857890942719	-0.790967711914417	14.44
-3.6	0.442520443294852	-0.896758416334147	12.96
-3.4	0.255541102026831	-0.966798192579461	11.56
-3.2	0.0583741434275792	-0.998294775794753	10.24
-3.0	-0.141120008059867	-0.989992496600445	9.0
-2.8	-0.334988150155904	-0.942222340668658	7.84
-2.6	-0.515501371821464	-0.856888753368947	6.76
-2.4	-0.675463180551151	-0.737393715541246	5.76
-2.2	-0.808496403819591	-0.588501117255345	4.84
-2.0	-0.909297426825682	-0.416146836547142	4.0
-1.8	-0.973847630878195	-0.227202094693088	3.24
-1.6	-0.999573603041505	-0.0291995223012884	2.56
-1.4	-0.98544972998846	0.169967142900241	1.96
-1.2	-0.932039085967226	0.362357754476674	1.44
-1.0	-0.841470984807897	0.54030230586814	1.0
-0.799999999999999	-0.717356090899522	0.696706709347166	0.639999999999998
-0.600000000000001	-0.564642473395036	0.825335614909677	0.360000000000002
-0.4	-0.389418342308651	0.921060994002885	0.16
-0.199999999999999	-0.198669330795061	0.980066577841242	0.0399999999999997
0.0	0.0	1.0	0.0
0.199999999999999	0.198669330795061	0.980066577841242	0.0399999999999997
0.4	0.389418342308651	0.921060994002885	0.16
0.600000000000001	0.564642473395036	0.825335614909677	0.360000000000002
0.800000000000001	0.717356090899523	0.696706709347165	0.640000000000001
1.0	0.841470984807897	0.54030230586814	1.0
1.2	0.932039085967227	0.362357754476673	1.44
1.4	0.98544972998846	0.169967142900242	1.96
1.6	0.999573603041505	-0.0291995223012884	2.56
1.8	0.973847630878195	-0.227202094693086	3.24
2.0	0.909297426825682	-0.416146836547142	4.0
2.2	0.808496403819591	-0.588501117255345	4.84
2.4	0.675463180551151	-0.737393715541246	5.76
2.6	0.515501371821464	-0.856888753368947	6.76
2.8	0.334988150155904	-0.942222340668658	7.84
3.0	0.141120008059867	-0.989992496600445	9.0
3.2	-0.058374143427581	-0.998294775794753	10.24
3.4	-0.255541102026832	-0.966798192579461	11.56
3.6	-0.442520443294854	-0.896758416334146	12.96
3.8	-0.611857890942718	-0.790967711914417	14.44
4.0	-0.756802495307928	-0.653643620863612	16.0
4.2	-0.871575772413588	-0.4902608213407	17.64
4.4	-0.951602073889516	-0.307332869978421	19.36
4.6	-0.993691003633464	-0.112152526935055	21.16
4.8	-0.996164608835841	0.0874989834394473	23.04
5.0	-0.958924274663138	0.283662185463226	25.0
5.2	-0.883454655720154	0.468516671300376	27.04
5.4	-0.772764487555987	0.634692875942635	29.16
5.6	-0.63126663787232	0.775565878510251	31.36
5.8	-0.464602179413757	0.885519516941319	33.64
6.0	-0.279415498198926	0.960170286650366	36.0
6.2	-0.0830894028174937	0.996542097023218	38.44
6.4	0.116549204850492	0.993184918758193	40.96
6.6	0.311541363513376	0.95023259195853	43.56
6.8	0.494113351138609	0.869397490349825	46.24
7.0	0.656986598718789	0.753902254343305	49.0
7.2	0.793667863849153	0.608351314532255	51.84
7.4	0.898708095811626	0.438547327574392	54.76
7.6	0.967919672031487	0.251259842582254	57.76
7.8	0.998543345374605	0.0539554205626489	60.84
8.0	0.989358246623382	-0.145500033808614	64.0
8.2	0.940730556679773	-0.339154860983835	67.24
8.4	0.85459890808828	-0.519288654116687	70.56
8.6	0.734397097874112	-0.678720047320014	73.96
8.8	0.584917192891765	-0.811093014061654	77.44
9.0	0.412118485241757	-0.911130261884677	81.0
9.2	0.222889914100248	-0.974843621404164	84.64
9.4	0.0247754254533595	-0.999693042035206	88.36
9.6	-0.174326781222981	-0.984687855794127	92.16
9.8	-0.366479129251928	-0.930426272104753	96.04
10.0	-0.54402111088937	-0.839071529076452	100.0
